3.39 -0.54 -3.77 2.38 1
-1.01 -2.7 -2.65 4.51 7
-0.13 -0.45 3.04 4.83 5
-0.04 -0.64 -1.06 1.98 1
-0.01 -1.05 5.09 4.87 4
-1.1 -2.07 -1.95 4.74 6
-0.06 -2.01 -3.66 4.16 4
-0.75 -1.72 1.77 2.7 4
-1.16 -2.4 0.38 3.88 1
-1.36 -1.89 3.92 3.47 4
-0.89 -1.11 2.57 2.26 5
-0.49 -1.21 -0.58 3.87 9
-0.59 -1.76 -1.1 3.86 6
-0.17 -0.41 2.61 3.03 2
-0.47 -1.51 2.42 3.05 4
-0.37 -2.51 3.07 5.12 6
-0.59 -1.27 -1.5 3.05 4
-1.56 -1.89 2.52 4.25 1
-1.36 -3.28 -1.81 4.97 6
-0.56 -1.19 1.22 3.67 4
-1.56 -2.74 -0.81 4.95 1
-1.17 -2.73 2.11 4.31 9
-0.56 -2.2 -0.12 5.09 8
-1.43 -2.75 3.86 4.98 5
-0.86 -0.9 3.59 3.72 2
-0.95 -2.17 -1.24 4.59 0
-0.93 -2.41 2.26 3.7 5
-0.36 -1.12 3.04 2.75 5
-1.06 -2.87 -0.37 4.98 1
-0.62 -2.14 3.28 4.61 9
-0.85 -1.13 3.19 2.89 3
-1.46 -1.69 0.55 4.12 5
-0.7 -1.91 -4.49 4.85 9
-1.12 -1.26 3.23 3.4 8
-0.49 -1.14 4.02 4.65 3
-0.68 -1.56 4.6 4.61 3
-0.51 -1.58 4.85 3.7 6
-0.34 -2.31 2.64 4.43 6
-1.61 -1.65 4.64 4.92 4
-0.14 -0.59 -0.82 0.95 8
-0.99 -1.66 0.76 3.87 4
-0.74 -1.43 1.18 3.32 3
-0.49 -0.6 -0.06 3.46 7
-0.24 -2.94 -0.15 4.45 7
-0.67 -2.47 5.09 4.83 6
-0.78 -2.7 -3.4 4.98 3
-0.05 -1.04 3.87 1.76 6
-0.25 -0.99 -1.43 2.36 6
-0.45 -1.4 3.6 3.71 6
-2.07 -2.45 -3.31 4.98 6
-1.38 -2.24 -0.86 4.57 4
-0.63 -1.87 -0.18 3.4 0
-1.51 -2.31 -1.15 3.92 9
-0.29 -1.93 3.57 4.56 5
-1.21 -2.71 2.68 4.82 8
-0.6 -1.65 -3.73 3.77 5
-1.4 -1.67 -0.14 3.25 9
-0.55 -1.33 0.71 4.12 3
-0.59 -0.62 -0.1 5.11 8
-0.6 -1.13 -3.14 3.26 3
-1.22 -1.32 2.92 3.96 4
-0.06 -0.58 -0.81 4.92 2
-0.49 -0.91 3.48 2.33 5
-0.59 -1.05 1.2 3.84 6
-1.04 -1.67 -3.07 4.09 1
-0.12 -0.54 1.59 3.06 1
-1.84 -2.36 -3.79 4.47 5
-0.01 -1.59 4.55 3 5
-0.06 -1.52 -3.53 4.76 7
-0.91 -2.1 -3.12 3.45 3
-0.1 -0.98 4.05 5.05 8
-2.02 -2.05 -3.87 4.45 3
-0.78 -2.2 -3.46 4.41 4
-1.95 -2.09 4.39 4.49 9
-0.83 -1.12 1.85 2.9 9
-0.33 -2.59 -0.93 4.11 6
-0.94 -1.56 -0.45 3.99 7
-0.12 -0.12 0.11 1.56 0
-1.28 -1.28 -3.23 4.4 3
-0.83 -2.12 -2.29 3.92 5
-0.17 -1.63 -3.33 4.57 1
-1.27 -1.54 -0.59 3.53 1
-0.63 -1.35 -0.47 4.25 7
-0.61 -0.82 1.65 1.74 8
-1.05 -2.09 -2.54 4.47 8
-0.44 -1 4.19 2.09 6
-1.71 -2.4 -1.09 4.54 7
-0.09 -2.16 -2.99 5.09 0
-0.88 -2.23 2.93 4.87 2
-1.51 -1.85 -0.65 3.86 2
-1.36 -2.57 -4.27 4.63 3
-0.59 -1.09 1.63 2.35 9
-0.02 -0.13 0.05 0.71 6
-0.93 -0.96 1.11 2.9 4
-0.39 -0.58 -2.59 3.72 5
